community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
14,school,2,广州市八旗二马路小学,科教文化服务;学校;小学,270,23.116031,113.273292,八旗二马路60号
14,school,3,广州海印实验学校,科教文化服务;学校;中学,302,23.115122,113.268262,回龙路4号之2(海珠广场地铁站F口步行300米)
14,hospital,1,广州市越秀区珠光街社区卫生服务中心(仰忠院区),医疗保健服务;综合医院;卫生院,468,23.119870,113.273627,万福路203号
14,hospital,2,西湖医院(龙藏街),医疗保健服务;综合医院;综合医院,636,23.121251,113.267097,惠福东路457号(大头虾斜对面)
14,hospital,3,越秀区北京街社区卫生服务中心,医疗保健服务;综合医院;卫生院,636,23.121263,113.267108,惠福东路457号
14,mall,1,北京大厦饰博城,购物服务;综合市场;综合市场|购物服务;个人用品/化妆品店;其它个人用品店,153,23.117956,113.270378,北京路68号北京大厦(北京路地铁站A1口步行60米)
14,mall,2,北京路天河城,购物服务;商场;购物中心,211,23.117960,113.269275,北京路168号(地铁6号线北京路站B口步行80米)
14,mall,3,北京路天河城B区,购物服务;商场;购物中心,216,23.117712,113.268979,北京路21号(北京路地铁站A出口)
14,park,1,高第社区口袋公园,风景名胜;公园广场;公园,554,23.119390,113.266228,大南路与书坊街交叉口西南100米
14,park,2,永汉电影公园,风景名胜;公园广场;公园,586,23.113718,113.265938,人民街道果菜西社区一德路237号海珠广场内(南侧)
14,park,3,婚姻文化公园,风景名胜;公园广场;公园,618,23.111579,113.273287,滨江街道草芳围46号
15,subway,1,万胜围(地铁站),交通设施服务;地铁站;地铁站,791,23.097759,113.384560,(在建)8号线东延段;4号线;8号线
15,subway,2,琶洲(地铁站),交通设施服务;地铁站;地铁站,1387,23.098516,113.366700,11号线;8号线
15,school,1,名门珠江小学,科教文化服务;学校;小学,1184,23.095915,113.370717,新港东路南园中街27号南园居内(近中洲中心)
15,school,2,员村小学(美林分校),科教文化服务;学校;小学,1195,23.112199,113.373312,棕林街46号
15,school,3,海珠区第三实验小学,科教文化服务;学校;小学,1300,23.093260,113.386346,新港东路雅郡路1号(雅郡花园)
15,hospital,1,开强纪念医院(中医馆),医疗保健服务;医疗保健服务场所;医疗保健服务场所,426,23.099396,113.377935,昭悦路27号
15,hospital,2,开强纪念医院,医疗保健服务;综合医院;综合医院,491,23.098725,113.378154,新港东路与昭悦路交叉口东北120米
15,hospital,3,广州市海珠区琶洲街琶洲社区卫生服务站,医疗保健服务;综合医院;卫生院,600,23.098273,113.382166,琶洲蟠龙新街1号自编201室
15,mall,1,若比邻(保利天悦店),购物服务;商场;普通商场,237,23.101765,113.381225,宸悦路保利天悦
15,mall,2,琶洲商业广场,购物服务;商场;购物中心,382,23.101466,113.382687,琶洲街道占决新街3号琶洲商业广场1栋A座3007室
15,mall,3,万胜围商业广场,购物服务;商场;商场,439,23.101032,113.383061,琶洲新村2栋A座旁(万胜围地铁站D口步行450米)
15,park,1,保利琶洲公园,风景名胜;公园广场;公园,268,23.105193,113.380457,琶洲村新马路与暄悦西街交叉口西北100米
15,park,2,水博苑,风景名胜;公园广场;公园,438,23.101236,113.375519,琶洲街道阅江中路690号
15,park,3,滑板公园,风景名胜;公园广场;公园,566,23.104798,113.374162,琶洲水博苑
16,subway,1,赤岗塔(地铁站),交通设施服务;地铁站;地铁站,533,23.102133,113.324659,12号线
16,subway,2,赤岗(地铁站),交通设施服务;地铁站;地铁站,681,23.096548,113.334621,12号线;8号线
16,subway,3,客村(地铁站),交通设施服务;地铁站;地铁站,882,23.096197,113.320331,3号线;8号线
16,school,1,知信小学,科教文化服务;学校;小学,135,23.097652,113.328699,[]
16,school,2,知信小学泓景校区,科教文化服务;学校;小学,194,23.100449,113.329192,赤岗北路泓景北二街7号
16,school,3,海珠区第二实验小学,科教文化服务;学校;小学,497,23.099544,113.333249,艺洲岛艺洲路600号
16,hospital,1,广州市海珠区赤岗街社区卫生服务中心,医疗保健服务;综合医院;卫生院,66,23.098384,113.328034,赤岗北路18号
16,hospital,2,一方艾业健康管理中心,体育休闲服务;娱乐场所;娱乐场所,478,23.101340,113.332252,珠江帝景苑艺洲路650号二楼一方艾业
16,hospital,3,广州赤冈中医医院,医疗保健服务;综合医院;综合医院,642,23.093433,113.326282,赤岗西路35号
16,mall,1,四季天地南座,购物服务;商场;普通商场,161,23.100229,113.327985,赤岗北路118号
16,mall,2,四季天地,购物服务;商场;普通商场,219,23.100811,113.328329,赤岗北路118号
16,mall,3,四季天地北座,购物服务;商场;普通商场,253,23.101123,113.328410,赤岗街道赤岗北路128号四季天地北座2楼G06商铺
16,park,1,全球数字小镇·创作者公园,体育休闲服务;体育休闲服务场所;体育休闲服务场所,357,23.099463,113.325027,新港中路TTT创意园A1-A5栋
16,park,2,伊呢森林,风景名胜;公园广场;公园,739,23.103444,113.323241,艺洲路与艺苑路交叉口北约120米
16,park,3,海珠区党建公园,风景名胜;公园广场;公园,767,23.103744,113.333722,磨碟沙大街73号(猎德大桥旁边)
17,school,1,白云广附金悦实验小学,科教文化服务;学校;小学,741,23.156095,113.194581,[]
17,school,2,沙凤小学(北校区),科教文化服务;学校;小学,964,23.159810,113.195343,春满街18号
17,school,3,广州市英伦外籍人员子女学校·国际学校,科教文化服务;学校;中学,1216,23.147167,113.195549,金沙洲创佳路4号
17,hospital,1,健仕云医互联网医院,医疗保健服务;医疗保健服务场所;医疗保健服务场所,977,23.148020,113.192998,沙凤三路3号501-B510
17,hospital,2,广东医寻医院互联网医院,医疗保健服务;医疗保健服务场所;医疗保健服务场所,990,23.148125,113.193375,沙凤三路3号b馆b129、b509
17,hospital,3,金沙互联网共享医院,医疗保健服务;医疗保健服务场所;医疗保健服务场所,1023,23.147812,113.193454,沙凤一路与创佳路交叉口西南160米
17,mall,1,永旺梦乐城(白云店),购物服务;商场;购物中心|购物服务;超级市场;超市,929,23.150546,113.194993,沙凤三路1号
17,mall,2,佳德荟,购物服务;商场;普通商场,986,23.153723,113.196921,创辉路与环洲五路交叉口西北80米
18,school,1,凤凰城中英文学校,科教文化服务;学校;中学|科教文化服务;学校;小学,394,23.134469,113.589777,新塘镇广园东碧桂园凤凰城
18,school,2,龙文教育(凤馨苑校区),科教文化服务;培训机构;培训机构,428,23.137636,113.594275,新塘汽车城大道268号凤馨苑2号门
