date,y3m,y6m,y1y,y3y,y5y,y7y,y10y,y30y,spread_10y_1y,source,source_url
2026-06-11,1.0904,1.1212,1.1967,1.315,1.4821,1.6181,1.7722,2.3018,0.5755,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-10,1.0902,1.111,1.1892,1.3075,1.466,1.6074,1.7731,2.2994,0.5839,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-09,1.0901,1.1065,1.1802,1.3027,1.4525,1.5911,1.7631,2.2839,0.5829,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-08,1.0911,1.1076,1.1779,1.2952,1.4393,1.5772,1.753,2.2771,0.5751,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-05,1.0768,1.1026,1.1811,1.2849,1.4288,1.5621,1.7465,2.2668,0.5654,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-04,1.0767,1.1026,1.1629,1.2824,1.4205,1.5492,1.7333,2.2529,0.5704,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-03,1.0755,1.1055,1.1569,1.2849,1.4311,1.562,1.7378,2.2677,0.5809,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-02,1.0753,1.1031,1.1533,1.2772,1.4288,1.5537,1.7283,2.253,0.575,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-01,1.0772,1.1023,1.1581,1.2719,1.4236,1.5598,1.7252,2.2535,0.5671,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-05-29,1.0605,1.098,1.1578,1.2714,1.4231,1.5672,1.7337,2.2693,0.5759,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-05-28,1.0704,1.1021,1.1558,1.2637,1.43,1.5795,1.7445,2.273,0.5887,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-05-27,1.0905,1.125,1.1672,1.2812,1.4435,1.5871,1.7462,2.2708,0.579,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-05-26,1.0904,1.135,1.1747,1.2986,1.4539,1.6058,1.7657,2.2816,0.591,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-05-25,1.1124,1.14,1.1794,1.2985,1.4603,1.614,1.7738,2.2856,0.5944,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
