community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
16,market,2,钱大妈(帝景花园店),购物服务;综合市场;农副产品市场,455,23.102208,113.330978,艺洲路与赏湖街交叉口东北100米
16,market,3,优优生鲜(赤岗西路店),购物服务;综合市场;农副产品市场,458,23.094997,113.326856,赤岗西横一街27-33号赤岗商住楼
17,market,1,金沙洲便民市场,购物服务;综合市场;综合市场,893,23.150425,113.194475,沙凤三路1号永旺梦乐城(白云店)
17,market,2,美团买菜(沙凤二路店),购物服务;综合市场;蔬菜市场,985,23.147865,113.192906,沙凤一路与创佳路交叉口西200米
17,market,3,叮咚买菜(沙凤一路店),购物服务;综合市场;蔬菜市场,1163,23.146431,113.193709,沙凤三路2号广州ECAT金沙洲文化创意园
18,market,1,新墩新市场,购物服务;综合市场;综合市场,273,23.136960,113.587689,东快速路碧桂园凤凰城36街一号碧桂园凤凰城凤鸣苑
18,market,2,肉菜帮(增城凤馨苑店),购物服务;综合市场;农副产品市场|餐饮服务;餐饮相关场所;餐饮相关,491,23.137714,113.594899,汽车城大道凤凰城凤馨苑256号商铺
18,market,3,长兴行跑山猪家养鸡蔬菜山货,购物服务;购物相关场所;购物相关场所,565,23.135075,113.594625,新东城
19,market,1,钱大妈(中信红树湾店),购物服务;综合市场;农副产品市场,195,22.222518,113.522582,南屏镇前山河西路333号中信红树湾8栋一层
19,market,2,菜大全(山桥路店),购物服务;综合市场;蔬菜市场,570,22.221139,113.518821,山桥路与仙桥路交叉口西南100米
19,market,3,光光蔬菜档,购物服务;综合市场;蔬菜市场,592,22.221156,113.518600,新北山市场里面
20,market,1,钱大妈(华发新城商业街店),购物服务;综合市场;农副产品市场,513,22.230368,113.516105,寿丰路与屏东路交叉口北180米
20,market,2,健鲜园生鲜超市,购物服务;综合市场;农副产品市场,533,22.230170,113.515919,华发新城商业街西南门旁
20,market,3,钱大妈(珠海茶城店),购物服务;购物相关场所;购物相关场所,749,22.236456,113.524424,粤海西路111号
21,market,1,生鲜帮(万科城市中心店),购物服务;综合市场;农副产品市场,367,22.271291,113.503447,前山上冲云峰路188号万科城市中心绘心街71铺19号
21,market,2,钱大妈(上冲万科城店),购物服务;综合市场;农副产品市场,433,22.270757,113.503773,云峰路绘心街47号商铺
21,market,3,小虹屋小集市(华发城建未来荟店),购物服务;购物相关场所;购物相关场所,597,22.270878,113.506816,云峰路99号华发城建未来荟
22,market,1,尖峰南市场(兆荣路店),购物服务;购物相关场所;购物相关场所,216,22.175325,113.314575,河坊路与河韵路交叉口西100米
22,market,2,钱大妈(世荣一号店),购物服务;综合市场;农副产品市场,399,22.176152,113.310695,世荣作品壹号
22,market,3,钱大妈(锦绣荣城店),购物服务;综合市场;农副产品市场,761,22.169492,113.307629,锦绣荣城5区
23,market,1,邻里集市(万科翡玲苑店),购物服务;购物相关场所;购物相关场所,176,22.398177,113.546528,科创纵三路与金业南路交叉口东南60米
23,market,2,悦惠购生鲜超市,购物服务;购物相关场所;购物相关场所,425,22.401799,113.546143,首开龙湖天钜金业北路15号
23,market,3,旺家旺生鲜超市,购物服务;便民商店/便利店;便民商店/便利店,1295,22.394236,113.532969,珠海嘉雄包装材料有限公司东北门旁
24,market,1,鑫港隆生鲜超市,购物服务;购物相关场所;购物相关场所,190,22.675735,113.832719,福永街道淇誉路3-18号
24,market,2,三耀买菜,购物服务;综合市场;蔬菜市场,300,22.678575,113.831225,淇誉路与永丰四路交叉口西200米
24,market,3,白石厦永丰肉菜市场,购物服务;购物相关场所;购物相关场所,369,22.673927,113.834486,福永大道与龙一路交叉口西160米
25,market,1,银海果蔬店,购物服务;综合市场;果品市场,178,22.664155,114.222469,创银街与银源街交叉口南60米
25,market,2,横岗银海市场,购物服务;综合市场;综合市场,244,22.664525,114.222975,横岗银海工业区西门东北180米
25,market,3,芳姐优品生鲜,购物服务;综合市场;农副产品市场,279,22.660879,114.220493,横坪东路1238-7号卓弘星辰
26,market,1,钱大妈(金御半山二店),购物服务;综合市场;农副产品市场,141,22.591666,114.133487,布吉街道翔鸽路2号信义·金御半山三期
26,market,2,钱大妈(信义·金御半山店),购物服务;综合市场;农副产品市场,275,22.591104,114.129559,禾富路2-20
26,market,3,佳品生鲜果菜(金洲花园店),购物服务;综合市场;农副产品市场,379,22.588874,114.133983,金洲花园西区
27,market,1,钱大妈(联投东方店),购物服务;综合市场;农副产品市场,285,22.762804,113.856877,松岗东方大道46号正北方向160米联投东方二期
27,market,2,立业果蔬粮油,购物服务;综合市场;农副产品市场,395,22.762607,113.855268,东朔路与怀业路交叉口南120米
27,market,3,两广岭南特色自选生鲜,购物服务;综合市场;农副产品市场,473,22.763325,113.854875,怀业路与福进南路交叉口东南40米
28,market,1,信运生鲜(裕和北街店),购物服务;综合市场;果品市场,159,22.696875,114.130974,裕和北街与荔香街交叉口西北20米
28,market,2,菜来了(平湖市场店),购物服务;综合市场;综合市场,229,22.696075,114.131125,荔园街与裕和北街交叉口西40米
