city,year,publish_date,approved_presale_area_wan_sqm,approved_presale_units_wan,residential_land_ha,affordable_units_wan,source_org,source_url,attachment_url
广州,2026,2026-06-03,448.3,0.0,216.5,3.0,广州市住房和城乡建设局,https://zfcj.gz.gov.cn/zwgk/xxgkml/qt/ghjh/content/post_10839629.html,https://zfcj.gz.gov.cn/attachment/8/8030/8030832/10839629.doc
广州,2025,2025-03-31,565.0,5.4,515.5,0.0,广州市住房和城乡建设局,https://zfcj.gz.gov.cn/zwgk/xxgkml/qt/ghjh/content/post_10192335.html,https://zfcj.gz.gov.cn/attachment/7/7789/7789672/10192335.doc
