city,year,publish_date,paid_units_wan,paid_persons_wan,deposit_amount_yi,deposit_balance_yi,extract_amount_yi,loan_issued_wan,loan_issued_yi,loan_balance_yi,support_purchase_wan_sqm,public_rental_supplement_yi,title,source_org,source_url
深圳,2025,2026-03-31,30.81,729.37,1300.95,3388.05,1184.67,4.14,489.03,2561.75,367.56,35.1,深圳市住房公积金2025年年度报告,深圳市住房公积金管理中心,https://zjj.sz.gov.cn/xxgk/ztzl/pubdata/qtsj/content/post_12712904.html
深圳,2024,2025-03-31,29.15,721.65,1227.15,3271.9,1036,4.49,382.34,2365.19,392.31,0,深圳市住房公积金2024年年度报告（种子：2025年报同比反推+通稿核验；qtsj列表暂无完整正文）,深圳市住房公积金管理中心,https://zjj.sz.gov.cn/xxgk/ztzl/pubdata/qtsj/content/post_12712904.html
