date,city,category,scope,district,units,area_sqm,granularity,source_url
2026-04-22,深圳,新房,住宅,全市,70,6899.73,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-23,深圳,二手,住宅,全市,275,26198.77,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-23,深圳,新房,住宅,全市,108,11187.34,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-24,深圳,二手,住宅,全市,242,22382.06,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-24,深圳,新房,住宅,全市,109,11689.44,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-25,深圳,二手,住宅,全市,69,5956.33,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-25,深圳,新房,住宅,全市,86,9808.12,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-26,深圳,二手,住宅,全市,46,4375.63,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-26,深圳,新房,住宅,全市,40,4368.84,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-27,深圳,二手,住宅,全市,206,20554.10,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-27,深圳,新房,住宅,全市,39,4639.42,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-28,深圳,二手,住宅,全市,300,29707.87,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-28,深圳,新房,住宅,全市,58,6898.16,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-29,深圳,二手,住宅,全市,238,23249.84,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-29,深圳,新房,住宅,全市,93,9823.19,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-30,深圳,二手,住宅,全市,222,23543.78,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-30,深圳,新房,住宅,全市,130,13849.25,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-01,深圳,二手,住宅,全市,44,4880.95,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-01,深圳,新房,住宅,全市,70,7154.26,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-02,深圳,二手,住宅,全市,22,2180.29,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-02,深圳,新房,住宅,全市,57,6196.02,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-03,深圳,二手,住宅,全市,16,1529.87,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-03,深圳,新房,住宅,全市,40,4572.47,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-04,深圳,二手,住宅,全市,16,1666.82,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-04,深圳,新房,住宅,全市,20,2721.86,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-05,深圳,二手,住宅,全市,23,2230.97,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-05,深圳,新房,住宅,全市,24,2611.71,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-06,深圳,二手,住宅,全市,230,22445.39,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-06,深圳,新房,住宅,全市,45,4593.85,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-07,深圳,二手,住宅,全市,310,29032.16,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-07,深圳,新房,住宅,全市,87,12528.30,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-08,深圳,二手,住宅,全市,275,27786.39,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-08,深圳,新房,住宅,全市,123,18048.36,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-09,深圳,二手,住宅,全市,288,29126.35,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-09,深圳,新房,住宅,全市,110,13929.68,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-10,深圳,二手,住宅,全市,84,8039.72,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-10,深圳,新房,住宅,全市,145,17183.05,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-11,深圳,二手,住宅,全市,221,22144.22,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-11,深圳,新房,住宅,全市,66,7495.45,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-12,深圳,二手,住宅,全市,268,26273.95,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-12,深圳,新房,住宅,全市,79,9603.67,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
