region,period,period_label,publish_date,sort_key,fa_yoy_pct,primary_yoy_pct,secondary_yoy_pct,tertiary_yoy_pct,industry_yoy_pct,manufacturing_yoy_pct,pr_yoy_pct,east_yoy_pct,west_yoy_pct,north_yoy_pct,title,source_org,source_url
广东,2026_H1,2026年上半年,2026-07-23,2026-06,-11.4,-26.1,-14.1,-9.7,-13.9,-14.4,-10.9,-36.8,-1.6,-0.6,2026年上半年广东固定资产投资运行简况,广东省统计局,http://stats.gd.gov.cn/tjkx185/content/post_4927620.html
广东,2026_01_05,2026年1-5月,2026-06-26,2026-05,-11.7,-26.1,-12.5,-11.1,-12.4,-13.6,-11.4,-33.4,-0.9,-2.5,2026年1—5月份广东固定资产投资运行简况,广东省统计局,http://stats.gd.gov.cn/tjkx185/content/post_4916180.html
广东,2026_01_04,2026年1-4月,2026-05-29,2026-04,-6.8,-23.6,-7.1,-6.5,-7,-8,0,0,0,0,2026年1—4月份广东固定资产投资运行简况,广东省统计局,http://stats.gd.gov.cn/tjkx185/content/post_4903562.html
