year,publish_date,nonpriv_yuan,nonpriv_nominal_yoy_pct,nonpriv_real_yoy_pct,priv_yuan,priv_nominal_yoy_pct,priv_real_yoy_pct,re_nonpriv_yuan,re_nonpriv_yoy_pct,construction_nonpriv_yuan,construction_nonpriv_yoy_pct,re_priv_yuan,re_priv_yoy_pct,source_url
2025,2026-05-15,129441,4.3,4.2,71590,3,2.9,89679,-2.4,92036,2.8,53338,-4.7,https://www.stats.gov.cn/sj/zxfb/202605/t20260515_1963707.html
2024,2025-05-16,124110,2.8,2.6,69476,1.7,4,91912,0,89519,4.3,55979,-0.2,https://www.stats.gov.cn/sj/zxfb/202505/t20250516_1959826.html
